ValorLiq;OrgCompras;TipoDoc;Centro;CriadorPedido;Primeiro Gerência de Linha;Primeiro getPessoa.Gerência;TipoContrato;Ptnct;GrupoMerc;Itens não alterados
0;OC1;Tipo1;Centro1;Criador1;Linha1;Gerencia1;tipocon1;Não;GM1;1
0;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;1
1;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM3;1
1;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
1;OC1;Tipo1;Centro2;Criador2;Linha2;Gerencia2;tipocon1;Não;GM2;0
1;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM3;1
2;OC1;Tipo1;Centro5;Criador4;Linha2;Gerencia2;tipocon1;Não;GM4;1
2;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
2;OC1;Tipo1;Centro6;Criador1;Linha1;Gerencia1;tipocon1;Não;GM5;1
2;OC1;Tipo1;Centro7;Criador6;Linha2;Gerencia2;tipocon1;Não;GM6;1
2;OC1;Tipo1;Centro3;Criador1;Linha1;Gerencia1;tipocon1;Não;GM5;1
3;OC1;Tipo1;Centro8;Criador5;Linha2;Gerencia2;tipocon1;Não;GM4;1
3;OC1;Tipo1;Centro5;Criador4;Linha2;Gerencia2;tipocon1;Não;GM4;1
3;OC1;Tipo1;Centro9;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
3;OC1;Tipo1;Centro10;Criador6;Linha2;Gerencia2;tipocon1;Não;GM4;1
3;OC1;Tipo1;Centro3;Criador3;Linha3;Gerencia3;tipocon1;Não;GM3;1
3;OC1;Tipo1;Centro11;Criador7;Linha4;Gerencia4;tipocon1;Não;GM3;1
4;OC1;Tipo2;Centro12;Criador8;Linha2;Gerencia2;tipocon2;Não;GM6;1
4;OC1;Tipo1;Centro13;Criador1;Linha1;Gerencia1;tipocon1;Não;GM7;1
4;OC1;Tipo1;Centro10;Criador6;Linha2;Gerencia2;tipocon1;Não;GM6;1
4;OC1;Tipo2;Centro14;Criador9;Linha2;Gerencia5;tipocon2;Não;GM7;1
4;OC1;Tipo1;Centro9;Criador3;Linha3;Gerencia3;tipocon1;Não;GM7;1
4;OC1;Tipo1;Centro15;Criador1;Linha1;Gerencia1;tipocon1;Não;GM8;1
4;OC1;Tipo1;Centro4;Criador3;Linha3;Gerencia3;tipocon1;Não;GM9;1
4;OC1;Tipo1;Centro14;Criador3;Linha3;Gerencia3;tipocon1;Não;GM10;0
4;OC1;Tipo2;Centro16;Criador3;Linha3;Gerencia3;tipocon2;Não;GM11;1
4;OC1;Tipo1;Centro2;Criador5;Linha2;Gerencia2;tipocon1;Não;GM2;0
